"","Dive.ID","Material.Type","Code","Length","Width","Median","Weight","Model","Debris._kgs"
"286","D8","unknown","POLY",2.439,0.371,0.137,2.03918787721569,"Lpower",13.6077711
"287","D10","unknown","DOME",0.617,0.359,NA,0.01,NA,268.0730907
"288","D10","unknown","FISH",2.017,1.072,1.1945,18.8249348965399,"LPOLY",268.0730907
"289","D10","unknown","FISH",1.412,0.641,1.1945,11.123735196894,"LPOLY",268.0730907
"290","D10","unknown","FISH",NA,NA,1.1945,1.1945,"LPOLY",268.0730907
"291","D10","unknown","FISH",NA,NA,1.1945,1.1945,"LPOLY",268.0730907
"292","D10","unknown","GAST",0.672,1.307,0.431,0.209165304509684,"LLM",268.0730907
"293","D10","unknown","GLRH",0.339,0.196,0.497,0.666854199419716,"Lpower",235.41444
"294","D10","unknown","GLRH",NA,NA,0.497,0.497,"Lpower",235.41444
"295","D10","unknown","GLRH",0.507,0.35,0.497,0.808285785351615,"Lpower",268.0730907
"296","D10","unknown","GLRH",0.398,0.555,0.497,0.710038385771061,"Lpower",268.0730907
"297","D10","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",268.0730907
"298","D10","unknown","MTHR",0.38,0.379,0.1395,0.07515553939106,"WLM",268.0730907
"299","D10","unknown","MTHR",1.488,1.071,0.1395,0.42120033808706,"WLM",268.0730907
"300","D10","unknown","MTHR",0.525,0.473,0.1395,0.12216162476306,"WLM",268.0730907
"301","D10","unknown","MTHR",0.865,0.733,0.1395,0.25217845664306,"WLM",268.0730907
"302","D10","unknown","MTHR",0.585,0.533,0.1395,0.15216550904306,"WLM",268.0730907
"303","D10","unknown","MTHR",0.537,0.478,0.1395,0.12466194845306,"WLM",268.0730907
"304","D10","unknown","MTHR",0.407,0.247,0.1395,0.01,"WLM",268.0730907
"305","D10","unknown","MTHR",0.612,0.584,0.1395,0.17766881068106,"WLM",268.0730907
"306","D10","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",268.0730907
"307","D10","unknown","MTHR",0.435,0.322,0.1395,0.04665184932506,"WLM",268.0730907
"308","D10","unknown","MTHR",0.783,0.407,0.1395,0.08915735205506,"WLM",268.0730907
"309","D10","unknown","MTHR",0.585,0.506,0.1395,0.13866376111706,"WLM",268.0730907
"310","D10","unknown","MTHR",0.383,0.261,0.1395,0.01614790030706,"WLM",268.0730907
"311","D10","unknown","MTHR",0.315,0.313,0.1395,0.04215126668306,"WLM",268.0730907
"312","D10","unknown","MTHR",0.367,0.253,0.1395,0.01214738240306,"WLM",268.0730907
"313","D10","unknown","MTHR",0.366,0.264,0.1395,0.01764809452106,"WLM",268.0730907
"314","D10","unknown","MTHR",0.507,0.439,0.1395,0.10515942367106,"WLM",268.0730907
"315","D10","unknown","MTHR",0.461,0.376,0.1395,0.07365534517706,"WLM",268.0730907
"316","D10","unknown","MTHR",0.591,0.457,0.1395,0.11416058895506,"WLM",268.0730907
"317","D10","unknown","MTHR",0.495,0.406,0.1395,0.08865728731706,"WLM",268.0730907
"318","D10","unknown","MTHR",1.362,1.194,0.1395,0.48270830086106,"WLM",268.0730907
"319","D10","unknown","MTHR",0.797,0.519,0.1395,0.14516460271106,"WLM",268.0730907
"320","D10","unknown","MTHR",0.348,0.271,0.1395,0.02114854768706,"WLM",268.0730907
"321","D10","unknown","MTHR",0.415,0.347,0.1395,0.05915346777506,"WLM",268.0730907
"322","D10","unknown","MTHR",0.521,0.359,0.1395,0.06515424463106,"WLM",268.0730907
"323","D10","unknown","MTHR",0.373,0.36,0.1395,0.06565430936906,"WLM",268.0730907
"324","D10","unknown","MTHR",1.394,1.291,0.1395,0.53121458044706,"WLM",268.0730907
"325","D10","unknown","MTHR",0.367,0.249,0.1395,0.01014712345106,"WLM",268.0730907
"326","D10","unknown","MTHR",0.351,0.323,0.1395,0.04715191406306,"WLM",268.0730907
"327","D10","unknown","MTHR",0.677,0.442,0.1395,0.10665961788506,"WLM",268.0730907
"328","D10","unknown","MTHR",0.661,0.443,0.1395,0.10715968262306,"WLM",268.0730907
"329","D10","unknown","MTHR",0.511,0.357,0.1395,0.06415411515506,"WLM",268.0730907
"330","D10","unknown","MTHR",0.853,0.494,0.1395,0.13266298426106,"WLM",268.0730907
"331","D10","unknown","MTHR",0.563,0.423,0.1395,0.09715838786306,"WLM",268.0730907
"332","D10","unknown","MTHR",0.658,0.484,0.1395,0.12766233688106,"WLM",268.0730907
"333","D10","unknown","MTHR",0.245,0.241,0.1395,0.01,"WLM",268.0730907
"334","D10","unknown","MTHR",0.577,0.565,0.1395,0.16816758065906,"WLM",268.0730907
"335","D10","unknown","MTHR",0.578,0.418,0.1395,0.09465806417306,"WLM",268.0730907
"336","D10","unknown","MTHR",0.878,0.62,0.1395,0.19567114124906,"WLM",268.0730907
"337","D10","unknown","MTHR",0.319,0.313,0.1395,0.04215126668306,"WLM",268.0730907
"338","D10","unknown","PAGR",0.675,0.397,0.941,0.076758388845247,"WLM",235.41444
"339","D10","unknown","POLY",NA,NA,0.137,0.137,"Lpower",268.0730907
"340","D10","unknown","POLY",1.45,0.185,0.137,1.44220819124108,"Lpower",268.0730907
"341","D10","unknown","POLY",2.691,0.762,0.137,2.17953525397788,"Lpower",235.41444
"342","D10","unknown","POLY",NA,NA,0.137,0.137,"Lpower",268.0730907
"343","D10","unknown","XNTH",0.783,0.321,0.416,0.416,"MEDIAN",235.41444
"344","D10","unknown","XNTH",0.578,0.358,0.416,0.416,"MEDIAN",235.41444
"345","D11","unknown","GLRH",0.698,0.454,0.497,1.03842764379652,"Lpower",27.2155422
"346","D11","unknown","GLRH",0.562,0.374,0.497,0.866977115221525,"Lpower",27.2155422
"347","D11","unknown","MTHR",0.481,NA,0.1395,0.1395,"WLM",27.2155422
"348","D11","unknown","MTHR",0.392,0.202,0.1395,0.01,"WLM",27.2155422
"349","D11","unknown","MTHR",0.373,0.295,0.1395,0.03315010139906,"WLM",27.2155422
"350","D11","unknown","MTHR",NA,NA,0.1395,0.1395,"WLM",27.2155422
"351","D11","unknown","MTHR",0.692,NA,0.1395,0.1395,"WLM",27.2155422
"352","D11","unknown","POLY",5.3,0.67,0.137,3.47289427056267,"Lpower",27.2155422
"353","D11","unknown","POLY",2.801,0.191,0.137,2.23964428069051,"Lpower",27.2155422
"354","D12","unknown","CARD",2.847,0.429,0.0745,0.418814242741754,"LLM",28.12272694
"355","D12","unknown","CARD",NA,NA,0.0745,0.0745,"LLM",28.12272694
"356","D12","unknown","CARD",NA,NA,0.0745,0.0745,"LLM",28.12272694
"357","D12","unknown","CHIT",0.665,0.343,NA,0.01,NA,28.12272694
"358","D12","unknown","ECHN",0.598,0.558,0.086,0.26734527014346,"WLM",28.12272694
"359","D12","unknown","GAST",2.363,0.977,0.431,1.38693572338668,"LLM",28.12272694
"360","D12","unknown","GAST",NA,NA,0.431,0.431,"LLM",28.12272694
"361","D12","unknown","GAST",2.276,1.064,0.431,1.32634079349768,"LLM",28.12272694
"362","D12","unknown","GAST",1.944,0.79,0.431,1.09510496909368,"LLM",28.12272694
"363","D12","unknown","GAST",NA,NA,0.431,0.431,"LLM",28.12272694
